日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2026-07-04,payment,食費,昼ご飯,Suica,-,B.L.T単品,,ベックスコーヒーアトレ大船店,"（プレミアム会員で表示）",0,530,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-08,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-08,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-08,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-16,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-16,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-16,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-21,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-21,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-27,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-30,payment,税金,その他,Suica,-,不明,,-,"（プレミアム会員で表示）",0,1200,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-02,payment,食費,昼ご飯,Suica,-,,,-,"（プレミアム会員で表示）",0,660,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-02,payment,交通,電車,Suica,-,,,-,"（プレミアム会員で表示）",0,803,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-03,payment,食費,カフェ,Suica,-,回数券,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,1750,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-03,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-03,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
